,Offset_au,Vel_red_nonconv,Vel_red,Vel_blue_nonconv,Vel_blue
111,115.38461538461547,13.973184420993528,13.95716901754994,4.855761800058349,4.814514179031059
112,125.41806020066906,13.635378765924498,13.70145803717616,4.924326527426647,4.890268981818817
113,135.45150501672242,13.313448174336843,13.442110648496067,4.9893443424612105,4.959065534951969
114,145.484949832776,13.058688606308294,13.189915516242648,5.047524674698559,5.021991951452447
115,155.5183946488296,12.829349758084849,12.951634144870102,5.1021515862743,5.079895642642171
116,165.55183946488296,12.608340123492948,12.730713229657677,5.153804063144211,5.1334541919854555
117,175.58528428093655,12.424604901480176,12.528182174063224,5.200461737560022,5.183217795484964
118,185.61872909699014,12.256160986389853,12.343522269811956,5.245486241243714,5.229638890839755
119,195.6521739130435,12.09268483886045,12.175376701320324,5.287092448321035,5.273095341358561
120,205.6856187290971,11.95439975880262,12.022039973574259,5.326412112731669,5.313905910758164
121,215.71906354515068,11.823972502369205,11.881776405063345,5.364166540680756,5.352341194295052
122,225.75250836120404,11.6967950086276,11.752982422044582,5.398868412594146,5.3886335013393545
123,235.78595317725762,11.58907220587912,11.634247974962683,5.432651060535003,5.422983672619484
124,245.8193979933112,11.48421666975689,11.524362042394664,5.464223397954621,5.455566222694967
125,255.85284280936457,11.383530108339418,11.422293423204074,5.4944706503393315,5.486533993392653
126,265.88628762541816,11.295367706229053,11.32716496608931,5.523560058893045,5.516021363211877
127,275.91973244147175,11.208677789430665,11.23822861956893,5.5508396816774574,5.544146995511112
128,285.9531772575251,11.127390914153176,11.154843273902014,5.577530362387255,5.571016365226998
129,295.9866220735787,11.053010067332934,11.076459549458978,5.602510095778041,5.5967235438922796
130,306.0200668896323,10.979771349201485,11.002603366671526,5.62682438549787,5.621352851704303
131,316.05351170568565,10.91273225950714,10.932862648010204,5.650098351347019,5.644980152790064
132,326.08695652173924,10.848874841024385,10.866878004165729,5.672365467165359,5.667673729171189
133,336.1204013377928,10.78593503275593,10.80433271982834,5.694114749523788,5.689495371331834
134,346.1538461538462,10.729665100607654,10.744944820308682,5.714604965139468,5.710501145384111
135,356.1872909698998,10.674058796646902,10.688462427724314,5.734768222668549,5.730742175437794
136,366.22073578595337,10.620835072895359,10.634659288129564,5.753922717295637,5.750265300222153
137,376.2541806020067,10.571284371772046,10.583331763018968,5.772599428342199,5.769113368674405
138,386.2876254180603,10.5222897438269,10.534297550182247,5.790640760708269,5.787325674539813
139,396.3210702341139,10.47667994177296,10.48739298801248,5.8080042150839875,5.804938159217658
140,406.35451505016727,10.432609075063489,10.442470732512032,5.825034015200068,5.821983810063507
141,416.38795986622085,10.389381543585213,10.399398001633713,5.841231053945591,5.838493064396568
142,426.42140468227444,10.34947969329021,10.358054057767387,5.857222071786589,5.854494135552224
143,436.4548494983278,10.309947319202871,10.318328731298541,5.872494561433465,5.870013353644665
144,446.4882943143814,10.272268588191919,10.280121429200333,5.887480509631983,5.885075229852168
145,456.52173913043475,10.236222481625044,10.243339832735671,5.901981132488051,5.899702567825335
146,466.55518394648834,10.20049912103534,10.207899309882785,5.916062984939552,5.913916462528514
147,476.58862876254193,10.167361495450319,10.173721999994102,5.929853483897849,5.927736409378923
148,486.6220735785953,10.134588257955631,10.140735863430704,5.943118805892013,5.941180503806056
149,496.6555183946489,10.102925109388039,10.108874467102254,5.956242333027275,5.954265642667793
150,506.68896321070247,10.072725292815328,10.078076231977708,5.968779455714022,5.967007787647146
151,516.7224080267558,10.042758245804496,10.0482841553763,5.981184374571472,5.979422068094202
152,526.7558528428094,10.014572128659399,10.019445543879627,5.993161208209772,5.991522842970069
153,536.789297658863,9.986824083592374,9.991511429569995,6.004910896849443,6.003323646038095
154,546.8227424749164,9.959817198570924,9.964436392188356,6.0163672945265265,6.014837129426272
155,556.85618729097,9.934032127631,9.93817812405502,6.027517689716659,6.0260750596166535
156,566.8896321070233,9.908421816229627,9.912697106563613,6.038489708324804,6.0370483617415145
157,576.9230769230771,9.884136709276353,9.887956506672175,6.049090372814175,6.047767270128828
158,586.9565217391305,9.860244657098262,9.863921794185714,6.059601011260829,6.05824146449654
159,596.9899665551839,9.836911598901935,9.840560663243547,6.069705729346808,6.068480213953713
160,607.0234113712377,9.814557069862799,9.81784283172626,6.07972263329257,6.0784924395820905
161,617.056856187291,9.792337985036422,9.79573981836724,6.089432834392399,6.088286711067206
162,627.0903010033444,9.77117700553052,9.774224914567004,6.098993672433692,6.097871203549723
163,637.1237458193982,9.750320388658812,9.753272942456615,6.108334013730014,6.107253622961479
164,647.1571906354516,9.729936522113816,9.732860209024238,6.117472598994283,6.116441189394807
165,657.1906354515049,9.710310735961501,9.712964406254418,6.126465662170036,6.125440631695445
166,667.2240802675587,9.690792652195075,9.69356446084314,6.135212437501634,6.1342582632440035
167,677.2575250836121,9.672171526547034,9.674640510638731,6.143878944854073,6.142900063693831
168,687.2909698996655,9.653755325744516,9.656173764385041,6.152261396515636,6.15137176914895
169,697.3244147157193,9.635775552928969,9.638146465443507,6.160588987807334,6.15967894416061
170,707.3578595317726,9.618362815239774,9.620541839078241,6.168663412467717,6.1678270073098025
171,717.391304347826,9.60103754524894,9.6033439719358,6.176657869329242,6.1758212420558785
172,727.4247491638798,9.5845094183567,9.58653776784073,6.184458620927618,6.183666784578541
173,737.4581939799332,9.568090258316225,9.57010884548841,6.192141759089968,6.191368677968393
174,747.4916387959865,9.552097025967978,9.554043514610857,6.1996837663700095,6.19893197566873
175,757.5250836120404,9.536508737371545,9.538328775330708,6.207075470549273,6.206362002730432
176,767.5585284280937,9.521034757205243,9.52295226135593,6.214372559625971,6.213664724116965
177,777.5919732441471,9.506210410056617,9.507902214547784,6.221490995018091,6.220847230387336
178,787.6254180602009,9.491450229680567,9.493167407496665,6.228555990670418,6.227918201927005
179,797.6588628762543,9.477118378556206,9.478737109950451,6.235417787178642,6.234888199893454
180,807.6923076923076,9.463055384894316,9.464601096443518,6.2422429353827305,6.241769609142492
181,817.7257525083614,9.44916113236394,9.450749616050938,6.2488830163479,6.2485761191664535
182,827.7591973244148,9.435742764290088,9.437173397360942,6.25551873598353,6.2553218172535505
183,837.7926421404682,9.422378681944533,9.423863595201986,6.262149035781223,6.262020060089497
184,847.826086956522,9.409451219800525,9.41081175823047,6.268772882035455,6.268682461884093
